SEP=;;;;elev agl (ft);lgt type;lgt hr;elev agl (m)
EFINOB 10121;Chimney;61.63172052;21.40446484;494;F R;HN;151
EFINOB 10156;Chimney;61.23615687;21.44253554;345;F R;HN;105
EFINOB 10157;Chimney;61.23709604;21.44600093;345;F R;HN;105
EFINOB 10202;Chimney;61.48882158;21.81819878;415;F R;HN;126
EFINOB 10273;Chimney;60.45807526;22.05290064;437;F R;HN;133
EFINOB 10446;Chimney;60.37049129;26.3474012;347;F R;HN;106
EFINOB 10471;Chimney;65.00569508;25.43286566;451;F R;HN;137
EFINOB 10478;Chimney;65.03764039;25.43531327;434;F R;HN;132
EFINOB 10496;Chimney;65.03316833;25.51276122;338;F R;HN;103
EFINOB 10791;Chimney;60.14903421;24.71753954;490;F R;HN;149
EFINOB 10809;Chimney;60.20771709;24.90623775;368;F R;HN;112
EFINOB 10813;Chimney;60.16435384;24.90305169;351;F R;HN;107
EFINOB 10814;Chimney;60.1653226;24.9046824;493;F R;HN;150
EFINOB 10819;Chimney;60.18365174;24.97156124;466;F R;HN;142
EFINOB 10820;Chimney;60.22593911;25.07973583;330;F R;HN;101
EFINOB 10881;Chimney;60.2338658;24.88930552;348;F R;HN;106
EFINOB 10897;Chimney;60.23747065;24.98028118;389;FLG R;H24;119
EFINOB 10988;Chimney;60.31174402;25.52517744;344;F R;HN;105
EFINOB 10994;Chimney;60.31398524;25.52704076;345;F R;HN;105
EFINOB 11138;Chimney;61.4738262;23.49718394;364;F R;HN;111
EFINOB 11190;Chimney;61.50607533;23.76386144;345;FLG R;H24;105
EFINOB 11249;Chimney;61.26426472;24.02267335;402;F R;HN;123
EFINOB 11250;Chimney;61.27859748;24.04726225;422;F R;HN;129
EFINOB 11382;Chimney;64.23348199;27.68922971;329;F R;HN;100
EFINOB 11666;Chimney;64.12277342;25.41297701;427;F R;HN;130
EFINOB 11671;Chimney;64.64029609;24.40361742;345;F R;HN;105
EFINOB 11672;Chimney;64.63997738;24.40678045;345;F R;HN;105
EFINOB 11801;Chimney;61.24840657;28.86525068;360;F R;HN;110
EFINOB 11804;Chimney;61.24966968;28.8665484;449;F R;HN;137
EFINOB 11978;Chimney;62.87896871;27.67435504;391;F R;HN;119
EFINOB 12206;Chimney;62.31826023;27.89791584;329;NIL;NIL;100
EFINOB 12209;Chimney;62.31658341;27.89409698;394;F R;HN;120
EFINOB 12214;Chimney;62.31880708;27.89957799;404;F R;HN;123
EFINOB 12216;Chimney;62.31607774;27.8956891;396;F R;HN;121
EFINOB 12297;Chimney;62.25595538;21.32801233;455;F R;HN;139
EFINOB 12299;Chimney;62.25499866;21.32648148;507;F R;HN;155
EFINOB 12381;Chimney;63.09154874;21.5521938;499;F R;HN;152
EFINOB 12499;Chimney;61.57685706;21.55314175;430;F R;HN;131
EFINOB 12570;Chimney;60.99189126;25.7200004;509;FLG W;HN;155
EFINOB 12620;Chimney;61.06592491;28.23956481;378;FLG W;H24;115
EFINOB 12667;Chimney;60.46579583;26.95639804;444;F R;HN;135
EFINOB 12670;Chimney;60.49064724;26.95152679;393;FLG R;HN;120
EFINOB 12682;Chimney;60.76866462;26.77347293;364;NIL;NIL;111
EFINOB 12687;Chimney;60.53333225;26.91231012;414;NIL;NIL;126
EFINOB 12695;Chimney;60.70814758;26.82029552;356;NIL;NIL;109
EFINOB 12755;Chimney;60.90226955;26.65139857;411;NIL;NIL;125
EFINOB 12863;Chimney;61.81100037;25.23888509;395;F R;HN;120
EFINOB 13033;Chimney;62.02723213;24.6354958;389;F R;HN;119
EFINOB 13136;Chimney;63.85984595;23.04731857;459;F R;HN;140
EFINOB 13551;Chimney;63.09140027;21.55436227;356;F R;HN;109
EFINOB 13899;Chimney;65.00452494;25.43158523;412;F R;HN;126
EFINOB 14131;Chimney;61.32048453;22.12229013;460;F R;HN;140
EFINOB 14600;Chimney;60.43891235;22.23814464;332;F R;HN;101
EFINOB 14701;Chimney;61.11273457;21.46519418;394;F R;HN;120
EFINOB 15523;Chimney;62.59391871;25.74013142;329;F R;HN;100
EFINOB 15640;Chimney;65.00512747;25.43007712;412;F R;HN;126
EFINOB 16512;Chimney;61.1303003;28.45159484;493;F R;HN;150
EFINOB 20317;Chimney;63.70481711;22.70586533;429;F R;HN;131
EFINOB 21862;Chimney;60.9070791;26.66830108;336;F R;HN;102
EFINOB 22517;Chimney;63.70003497;22.71087967;493;FLG R;HN;150
EFINOB 25066;Chimney;60.90608292;26.66491424;440;FLG R;HN;134
EFINOB 25313;Chimney;60.18470078;24.97022714;329;F R;HN;100
