SEP=;;;;elev agl (ft);lgt;lgt hr;elev agl (m)
EFINOB 10031;Mast;61.93083059;25.73175845;355;F R;HN;108
EFINOB 10037;Mast;62.20551801;25.63884318;397;F R;HN;121
EFINOB 10038;Mast;62.35026117;25.55124486;337;F R;HN;103
EFINOB 10047;Mast;62.21452457;25.70405057;529;F R;HN;161
EFINOB 10065;Mast;62.23978266;25.89976587;331;FLG W;H24;101
EFINOB 10110;Mast;61.28135123;21.69824105;1054;FLG W;H24;321
EFINOB 10111;Mast;61.48067898;21.5691118;591;FLG W;H24;180
EFINOB 10112;Mast;61.80011248;22.37256851;361;F R;HN;110
EFINOB 10116;Mast;61.19572176;22.47537319;344;F R;HN;105
EFINOB 10117;Mast;61.3934194;21.85990151;358;F R;HN;109
EFINOB 10145;Mast;61.24261493;21.43069464;350;F R;HN;107
EFINOB 10217;Mast;60.4470536;22.33220701;442;F R;HN;135
EFINOB 10218;Mast;60.39987717;22.29605173;458;F R;HN;140
EFINOB 10222;Mast;60.34124355;23.0941346;397;F R;HN;121
EFINOB 10232;Mast;60.60205494;21.49856062;356;F R;HN;109
EFINOB 10241;Mast;60.80882133;21.42678338;329;F R;HN;100
EFINOB 10368;Mast;62.17779191;29.17450151;352;F R;HN;107
EFINOB 10370;Mast;61.98937663;29.25024743;1057;FLG W;H24;322
EFINOB 10392;Mast;62.63844729;29.23980123;358;F R;HN;109
EFINOB 10401;Mast;62.592793;29.77578136;334;F R;HN;102
EFINOB 10412;Mast;62.57840352;29.83002868;413;F R;HN;126
EFINOB 10428;Mast;62.40444148;30.50289736;397;F R;HN;121
EFINOB 10439;Mast;63.06413371;29.78343948;906;FLG W;H24;276
EFINOB 10501;Mast;64.83205781;25.92004617;378;F R;HN;115
EFINOB 10509;Mast;64.84323565;26.03830146;332;F R;HN;101
EFINOB 10513;Mast;64.66295906;25.09903961;329;F R;HN;100
EFINOB 10514;Mast;64.65718501;25.07525234;387;F R;HN;118
EFINOB 10515;Mast;64.66012012;25.09494597;401;F R;HN;122
EFINOB 10643;Mast;63.36338206;21.30803161;415;F R;HN;126
EFINOB 10645;Mast;63.20873909;21.53358761;394;F R;HN;120
EFINOB 10672;Mast;62.93337772;22.40839097;366;F R;HN;112
EFINOB 10769;Mast;60.18021504;23.99801549;431;F R;HN;131
EFINOB 10772;Mast;60.14054063;24.23408208;405;F R;HN;123
EFINOB 10777;Mast;60.19280607;24.24303333;394;F R;HN;120
EFINOB 10778;Mast;59.99061948;24.43453543;329;F R;HN;100
EFINOB 10792;Mast;60.18347852;24.75098691;348;F R;HN;106
EFINOB 10804;Mast;60.19687273;24.93685053;341;F R;HN;104
EFINOB 10807;Mast;60.21934987;24.92085623;394;FLG W;H24;120
EFINOB 10821;Mast;60.14402855;25.03309049;427;F R;HN;130
EFINOB 10854;Mast;60.43172869;24.48350829;329;F R;HN;100
EFINOB 10860;Mast;60.54405147;24.48309439;334;F R;HN;102
EFINOB 10890;Mast;60.41449706;24.76578383;329;F R;HN;100
EFINOB 10952;Mast;60.38024305;25.30717094;329;F R;HN;100
EFINOB 10963;Mast;60.60962512;24.89684753;334;F R;HN;102
EFINOB 10998;Mast;60.38646765;25.67744457;434;F R;HN;132
EFINOB 11014;Mast;60.17771041;24.64009209;1070;FLG W;H24;326
EFINOB 11057;Mast;60.80346061;23.57887758;401;F R;HN;122
EFINOB 11073;Mast;60.93016156;23.89812845;716;FLG W;H24;218
EFINOB 11112;Mast;61.453995;23.10133769;336;F R;HN;102
EFINOB 11141;Mast;61.54229891;23.59797949;407;F R;HN;124
EFINOB 11224;Mast;61.66191401;23.875952;1070;FLG W;H24;326
EFINOB 11230;Mast;60.98638471;24.44931448;367;F R;HN;112
EFINOB 11231;Mast;60.99200024;24.41350949;429;F R;HN;131
EFINOB 11248;Mast;61.26022846;24.05688606;361;F R;HN;110
EFINOB 11291;Mast;61.81983315;24.36275348;369;F R;HN;112
EFINOB 11364;Mast;64.86348563;26.72146946;388;F R;HN;118
EFINOB 11367;Mast;64.09564315;27.10957964;365;F R;HN;111
EFINOB 11377;Mast;64.2208259;27.75078822;383;F R;HN;117
EFINOB 11385;Mast;64.21053822;27.7090488;391;F R;HN;119
