SEP=;;;;elev agl (ft);lgt type;lgt hr;elev agl (m)
EFINOB 22007;Wind turbine;61.63018072;21.37455845;394;F R;HN;120
EFINOB 22027;Wind turbine;59.96458276;19.94974423;329;F R;HN;100
EFINOB 22028;Wind turbine;59.96728022;19.9543228;329;F R;HN;100
EFINOB 22029;Wind turbine;59.96489279;19.95808697;329;F R;HN;100
EFINOB 22030;Wind turbine;59.95880566;19.95418164;329;F R;HN;100
EFINOB 22031;Wind turbine;59.96214595;19.96778129;329;F R;HN;100
EFINOB 22081;Wind turbine;59.94928027;22.33780904;329;F R;HN;100
EFINOB 22083;Wind turbine;59.94483956;22.33605041;329;F R;HN;100
EFINOB 22084;Wind turbine;59.94911082;22.34574793;329;F R;HN;100
EFINOB 22811;Wind turbine;65.55283157;25.12249133;391;F R;HN;119
EFINOB 24539;Wind turbine;61.6372169;21.3948093;445;FLG R;HN;136
EFINOB 24760;Wind turbine;61.63669949;21.4031275;493;FLG R;HN;150
EFINOB 24883;Wind turbine;65.00824422;25.19330536;493;FLG R;HN;150
EFINOB 24884;Wind turbine;65.00826641;25.20082895;493;FLG R;HN;150
EFINOB 25025;Wind turbine;59.96495773;19.96849215;329;F R;HN;100
EFINOB 25680;Wind turbine;65.65944159;24.53120012;509;FLG W;H24;155
EFINOB 26271;Wind turbine;65.75480244;24.17334709;525;FLG R;HN;160
EFINOB 26272;Wind turbine;65.75583239;24.18396312;525;FLG R;HN;160
EFINOB 26273;Wind turbine;65.76147042;24.19418598;525;FLG R;HN;160
EFINOB 26274;Wind turbine;65.76227438;24.15112578;525;FLG R;HN;160
EFINOB 26275;Wind turbine;65.76647319;24.14506289;525;FLG R;HN;160
EFINOB 26276;Wind turbine;65.75055549;24.17052155;525;FLG R;HN;160
EFINOB 26277;Wind turbine;65.74727078;24.17825004;525;FLG R;HN;160
EFINOB 26307;Wind turbine;65.41054116;25.25962871;335;F R;HN;102
EFINOB 27854;Wind turbine;60.54207593;27.10777965;493;F R;HN;150
EFINOB 27855;Wind turbine;60.53274005;27.13143938;493;F R;HN;150
EFINOB 27857;Wind turbine;60.53005733;27.12374035;493;F R;HN;150
EFINOB 27910;Wind turbine;65.75936471;24.16722163;525;FLG R;HN;160
EFINOB 27922;Wind turbine;64.63931573;24.39970084;493;FLG R;HN;150
EFINOB 27923;Wind turbine;64.64333338;24.39678427;493;FLG R;HN;150
EFINOB 27924;Wind turbine;64.64704315;24.398298;493;FLG R;HN;150
EFINOB 27925;Wind turbine;64.65032601;24.40078223;493;FLG R;HN;150
EFINOB 28193;Wind turbine;62.36506907;22.74384357;332;F R;HN;101
EFINOB 28286;Wind turbine;62.32745408;22.67668236;332;F R;HN;101
EFINOB 28468;Wind turbine;61.62429564;21.35272619;427;FLG R;HN;130
EFINOB 29264;Wind turbine;63.05640908;21.55193807;604;FLG W;H24;184
EFINOB 29438;Wind turbine;65.48658578;25.36920929;640;FLG W;H24;195
EFINOB 29439;Wind turbine;65.48233769;25.3655968;640;FLG W;H24;195
EFINOB 29440;Wind turbine;65.47749568;25.36550871;640;FLG W;H24;195
EFINOB 29441;Wind turbine;65.47562569;25.37720537;640;FLG W;H24;195
EFINOB 29442;Wind turbine;65.47709418;25.38998097;640;FLG W;H24;195
EFINOB 29443;Wind turbine;65.48991371;25.37387014;640;FLG W;H24;195
EFINOB 29444;Wind turbine;65.47808031;25.40662263;640;FLG W;H24;195
EFINOB 29445;Wind turbine;65.48586814;25.40130459;640;FLG W;H24;195
EFINOB 29483;Wind turbine;65.65490611;25.00507228;640;FLG W;H24;195
EFINOB 29484;Wind turbine;65.65802013;25.01525093;640;FLG W;H24;195
EFINOB 29485;Wind turbine;65.65973618;25.00312344;640;FLG W;H24;195
EFINOB 29486;Wind turbine;65.61320715;25.09193483;640;FLG W;H24;195
EFINOB 29487;Wind turbine;65.61302681;25.1052459;640;FLG W;H24;195
EFINOB 29488;Wind turbine;65.61286908;25.11746051;640;FLG W;H24;195
EFINOB 29741;Wind turbine;64.22670991;23.7103031;545;FLG W;H24;166
EFINOB 29760;Wind turbine;60.5511733;27.07964253;493;FLG R;H24;150
EFINOB 29761;Wind turbine;60.54837845;27.07900717;493;FLG R;H24;150
EFINOB 29762;Wind turbine;60.5453522;27.08172208;493;FLG R;H24;150
EFINOB 29786;Wind turbine;61.2172619;22.77905878;411;F R;HN;125
EFINOB 29787;Wind turbine;61.21585009;22.77891362;411;F R;HN;125
EFINOB 29946;Wind turbine;64.33050229;24.38454735;624;F R;HN;190
EFINOB 29947;Wind turbine;64.33771517;24.38227717;624;F R;HN;190
EFINOB 29949;Wind turbine;64.3342401;24.39701869;624;F R;HN;190
EFINOB 29951;Wind turbine;64.34185309;24.39066224;624;F R;HN;190
EFINOB 30315;Wind turbine;60.42970509;26.88600934;476;FLG R;HN;145
EFINOB 30461;Wind turbine;66.15225987;24.87826544;657;FLG W;H24;200
EFINOB 30462;Wind turbine;66.14571658;24.87967255;657;FLG W;H24;200
EFINOB 30463;Wind turbine;66.1454682;24.86921063;657;FLG W;H24;200
EFINOB 30464;Wind turbine;66.14974377;24.85440381;657;FLG W;H24;200
EFINOB 30465;Wind turbine;66.14853204;24.91598179;657;FLG W;H24;200
EFINOB 30466;Wind turbine;66.14178573;24.89765084;657;FLG W;H24;200
EFINOB 30467;Wind turbine;66.13689449;24.89922045;657;FLG W;H24;200
EFINOB 30468;Wind turbine;66.1409867;24.90742022;657;FLG W;H24;200
EFINOB 30469;Wind turbine;66.12906558;24.85623796;657;FLG W;H24;200
EFINOB 30470;Wind turbine;66.13209377;24.86618506;657;FLG W;H24;200
EFINOB 30575;Wind turbine;61.97463139;22.28571416;657;FLG W;H24;200
EFINOB 30578;Wind turbine;61.97401735;22.29533438;657;FLG W;H24;200
EFINOB 30579;Wind turbine;61.97071658;22.30057649;657;FLG W;H24;200
EFINOB 30580;Wind turbine;61.96933657;22.29081854;657;FLG W;H24;200
EFINOB 30581;Wind turbine;61.96617446;22.30694243;657;FLG W;H24;200
EFINOB 30582;Wind turbine;61.96377399;22.28602454;657;FLG W;H24;200
EFINOB 30583;Wind turbine;61.96380635;22.29614168;657;FLG W;H24;200
EFINOB 30584;Wind turbine;61.96129996;22.30927083;657;FLG W;H24;200
EFINOB 30585;Wind turbine;61.95904639;22.29939065;657;FLG W;H24;200
EFINOB 30687;Wind turbine;60.54426538;27.07659689;493;FLG R;H24;150
EFINOB 30696;Wind turbine;64.92893784;25.09140341;411;FLG R;HN;125
EFINOB 30705;Wind turbine;60.42648042;26.88459541;558;FLG W;H24;170
EFINOB 30720;Wind turbine;61.10677621;28.39607324;489;FLG R;HN;149
EFINOB 30721;Wind turbine;61.10284962;28.39730713;488;FLG R;HN;149
EFINOB 30722;Wind turbine;61.09184545;28.38210482;505;FLG W;H24;154
EFINOB 30723;Wind turbine;61.09379438;28.39154806;503;FLG W;H24;153
EFINOB 30724;Wind turbine;61.09525164;28.39851069;497;FLG W;H24;151
EFINOB 30725;Wind turbine;61.09760865;28.40764585;497;FLG W;H24;151
EFINOB 30726;Wind turbine;61.1002538;28.41749779;497;FLG W;H24;151
EFINOB 31273;Wind turbine;64.63105606;24.39266434;398;NIL;NIL;121
EFINOB 31274;Wind turbine;64.62812209;24.39551248;398;NIL;NIL;121
EFINOB 31275;Wind turbine;64.6321442;24.38513902;398;NIL;NIL;121
EFINOB 31276;Wind turbine;64.63423039;24.38247341;398;NIL;NIL;121
EFINOB 31277;Wind turbine;64.63731052;24.39037826;398;NIL;NIL;121
EFINOB 31388;Wind turbine;65.52387542;25.31809991;598;FLG W;H24;182
EFINOB 31389;Wind turbine;65.52912636;25.31240363;598;F R;H24;182
EFINOB 31390;Wind turbine;65.52942952;25.3366124;598;F R;H24;182
EFINOB 31400;Wind turbine;65.52428062;25.34732196;598;FLG W;H24;182
EFINOB 31401;Wind turbine;65.53379131;25.3030438;598;FLG W;H24;182
EFINOB 31403;Wind turbine;65.53636722;25.34508503;598;F R;H24;182
EFINOB 31404;Wind turbine;65.54478279;25.36171556;598;FLG W;H24;182
EFINOB 31405;Wind turbine;65.54148645;25.32306922;598;F R;H24;182
EFINOB 31407;Wind turbine;65.55087834;25.32838412;598;F R;H24;182
EFINOB 31419;Wind turbine;65.55703459;25.27903525;598;FLG W;H24;182
EFINOB 31420;Wind turbine;65.55724116;25.33733147;598;F R;H24;182
EFINOB 31423;Wind turbine;65.56017509;25.31075543;598;F R;H24;182
EFINOB 31424;Wind turbine;65.56343686;25.28878097;598;FLG W;H24;182
EFINOB 31425;Wind turbine;65.56437672;25.3472762;598;FLG W;H24;182
EFINOB 31427;Wind turbine;65.54213188;25.30022316;598;F R;H24;182
EFINOB 31458;Wind turbine;64.34482304;24.40034737;568;F R;HN;173
EFINOB 31459;Wind turbine;64.34010572;24.40158812;575;F R;HN;175
EFINOB 31560;Wind turbine;66.14379306;24.03654917;670;FLG W;H24;204
EFINOB 31561;Wind turbine;66.14158301;24.0446857;670;FLG W;H24;204
EFINOB 31562;Wind turbine;66.13691567;24.04416038;670;FLG W;H24;204
EFINOB 31563;Wind turbine;66.13305832;24.05003973;670;FLG W;H24;204
EFINOB 31564;Wind turbine;66.13745411;24.06179997;670;FLG W;H24;204
